"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","collected_start","collected_end","species","quantity","length_cm","estimated_quantity","quality_log","qc_flag_lengths","qc_flag_abunds","substrate","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"1","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2020-08-07",2,"carolyn,gillian","derek","MGFSH34377","fish","2020-08-07 09:25:10","2020-08-07 09:29:15","sole/sand",1,8,FALSE,"1: Sand sole","AV",NA,"sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"2","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2","2020-08-12",2,"angeleen,carolyn","zach","MGFSH38000","fish","2020-08-12 11:12:26","2020-08-12 11:17:34","sculpin/scalyhead",2,4,FALSE,"1: Scalyhead",NA,NA,"sand",52.06205,"-128.41389",52.0622169,"-128.4138951"
"3","HAKAI","CALVERT","MARINEGEO","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE3","2020-08-11",3,"gillian,krystal","zach","MGFSH38174","fish","2020-08-11 14:43:54","2020-08-11 14:46:00","greenling/painted",1,3,FALSE,"1: Painted greenling","AV",NA,"sand",51.922405,"-128.466254",51.9224712,"-128.4665005"
"4","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2021-08-06",5,"carolyn,faye,krystal","zach","MGFSH60304","fish","2021-08-06 13:42:00","2021-08-06 13:48:00","perch/shiner",1,11,NA,"1: QCd by KB","AV",NA,"sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"5","HAKAI","CALVERT","MARINEGEO","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR6","2021-08-11",6,"carolyn,faye,krystal","zach","MGFSH45553","fish","2021-08-11 13:23:00","2021-08-11 13:28:00","cod/other",2,7,NA,"1: QCd by FM","SVD","SVD","sand",51.923982,"-128.464071",51.9241301,"-128.4639467"
"6","HAKAI","CALVERT","MARINEGEO","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR6","2021-08-11",6,"carolyn,faye,krystal","derek","MGFSH45549","fish","2021-08-11 13:31:00","2021-08-11 13:36:00","cod/unknown",1,5,NA,"1: QCd by FM","AV","SVD","sand",51.923982,"-128.464071",51.9241301,"-128.4639467"
"7","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE3","2021-08-15",3,"faye,krystal","derek","MGFSH45945","fish","2021-08-15 13:13:00","2021-08-15 13:19:00","rockfish/deacon",2,4,NA,"1: QCd by FM","AV","SVD","sand",52.06145,"-128.41221",52.0616071,"-128.4121496"
"8","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE3","2021-08-15",3,"faye,krystal","derek","MGFSH45944","fish","2021-08-15 13:13:00","2021-08-15 13:19:00","rockfish/deacon",2,5,NA,"1: QCd by FM","AV","SVD","sand",52.06145,"-128.41221",52.0616071,"-128.4121496"
"9","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_INTERIOR4","2021-08-15",4,"faye,krystal","derek","MGFSH45957","fish","2021-08-15 13:42:00","2021-08-15 13:47:00","rockfish/deacon",1,5,NA,"1: QCd by FM","AV","SVD","sand",52.06138,"-128.41264",52.0615442,"-128.4126607"
"10","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","kyle","MGFSH75905","fish","2022-08-06 13:11:00","2022-08-06 13:15:00","perch/shiner",2,12,FALSE,"1: QCd by FM","AV","AV","sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
