"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","collected_start","collected_end","species","quantity","size_cm","quality_log","qc_flag_sizes","qc_flag_abunds","substrate","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"1","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2021-08-10",4,"carolyn,faye,krystal","derek","MGINV28174","invertebrates","2021-08-10 14:36:00","2021-08-10 14:40:00","crab/dungeness",1,14,"1: QCd by FM","AV",NA,"sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"2","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2021-08-10",4,"carolyn,faye,krystal","zach","MGINV28175","invertebrates","2021-08-10 14:30:00","2021-08-10 14:32:00","no_obs",NA,NA,"1: QCd by FM
2: No invertebrates observed",NA,NA,"sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"3","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","derek","MGINV20883","invertebrates","2020-08-14 09:36:15","2020-08-14 09:40:28","crab/dungeness",1,8,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"4","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","derek","MGINV20882","invertebrates","2020-08-14 09:36:15","2020-08-14 09:40:28","crab/dungeness",1,12,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"5","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","derek","MGINV20881","invertebrates","2020-08-14 09:36:15","2020-08-14 09:40:28","crab/dungeness",2,10,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"6","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","derek","MGINV20880","invertebrates","2020-08-14 09:36:15","2020-08-14 09:40:28","crab/dungeness",1,11,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"7","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","derek","MGINV20879","invertebrates","2020-08-14 09:36:15","2020-08-14 09:40:28","crab/dungeness",2,9,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"8","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","zach","MGINV20878","invertebrates","2020-08-14 09:30:44","2020-08-14 09:34:55","crab/dungeness",1,12,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"9","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","zach","MGINV20877","invertebrates","2020-08-14 09:30:44","2020-08-14 09:34:55","crab/dungeness",3,10,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"10","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2020-08-14",4,"gillian,krystal","zach","MGINV20876","invertebrates","2020-08-14 09:30:44","2020-08-14 09:34:55","crab/dungeness",4,11,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"11","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","gillian","MGINV48375","invertebrates","2022-08-09 12:27:00","2022-08-09 12:32:00","crab/dungeness",3,5,"1: QCd by CP","AV","SVC","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"12","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","gillian","MGINV48376","invertebrates","2022-08-09 12:27:00","2022-08-09 12:32:00","crab/dungeness",2,6,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"13","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","gillian","MGINV48377","invertebrates","2022-08-09 12:27:00","2022-08-09 12:32:00","crab/dungeness",4,7,"1: QCd by CP","AV","AV","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"14","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","gillian","MGINV48378","invertebrates","2022-08-09 12:27:00","2022-08-09 12:32:00","crab/dungeness",2,8,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"15","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","gillian","MGINV48379","invertebrates","2022-08-09 12:27:00","2022-08-09 12:32:00","crab/dungeness",1,9,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"16","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","gillian","MGINV48380","invertebrates","2022-08-09 12:27:00","2022-08-09 12:32:00","crab/dungeness",1,10,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"17","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48381","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",5,6,"1: QCd by CP","AV","AV","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"18","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48382","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",2,7,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"19","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48387","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",1,12,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"20","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48386","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",1,11,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"21","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48385","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",4,10,"1: QCd by CP","AV","SVC","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"22","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48384","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",1,9,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"23","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","MGINV48383","invertebrates","2022-08-09 12:22:00","2022-08-09 12:25:00","crab/dungeness",2,8,"1: QCd by CP","AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"24","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2019-08-16",4,"angeleen","zach","MGINV14271","invertebrates","2019-08-16 14:40:05","2019-08-16 14:44:12","crab/dungeness",1,7,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"25","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2019-08-16",4,"angeleen","zach","MGINV14270","invertebrates","2019-08-16 14:40:05","2019-08-16 14:44:12","crab/dungeness",1,12,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"26","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2019-08-16",4,"angeleen","zach","MGINV14269","invertebrates","2019-08-16 14:40:05","2019-08-16 14:44:12","crab/dungeness",1,11,NA,"AV","SVD","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
